"Domain","CustomerId","Action","Cancelled","Failed","AzureSkipped","Details"
"otuwacne104004.onmicrosoft.com","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104003.onmicrosoft.com","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104002.onmicrosoft.com","28a55a2c-82bd-4b23-9f46-15ec7498ae91","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104001.onmicrosoft.com","f228cb19-dd3b-46c2-8f83-26f187126f85","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne104000.onmicrosoft.com","4d27db45-5247-434e-b486-cafa2a3e8cc1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103999.onmicrosoft.com","0bbab552-d379-4e86-96e1-c86662064893","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103998.onmicrosoft.com","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103997.onmicrosoft.com","a72d2241-6280-47be-a855-ea92aaf08ed6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103996.onmicrosoft.com","ecc2d30e-95b3-41ef-b4b1-2f9f541a34ca","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103995.onmicrosoft.com","4b2446e0-e17b-4e53-92dc-27c96dbf052b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103994.onmicrosoft.com","9497f345-2dc9-4aca-9581-03f973c0729b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103993.onmicrosoft.com","515758fa-6df2-4d1c-ad7f-c6e92e29cd5a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103992.onmicrosoft.com","d180178c-b0a7-4b4f-a760-c17d5432a050","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103991.onmicrosoft.com","13f4c7f8-6a94-417d-b9f1-5279cc5477a6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103990.onmicrosoft.com","0fdff097-6981-49aa-a15d-b300e7a85553","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103989.onmicrosoft.com","7b89fd47-443d-426c-a9c3-ae01ee45bd46","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103988.onmicrosoft.com","6ad8c3d0-d2a5-4679-886a-62520920bc6b","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103987.onmicrosoft.com","d10bb18b-1445-4d3c-9013-b6816b01a14d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103986.onmicrosoft.com","2f2346f5-7774-44af-bff8-48424e5098a4","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103985.onmicrosoft.com","1c7c5c7f-8a07-43d2-a34b-018e9dccf1b5","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103984.onmicrosoft.com","720321f9-abf7-4f35-b95f-865ea1129e66","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103983.onmicrosoft.com","6c747e2a-2cfa-4353-83c2-2f96e8658e7f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103982.onmicrosoft.com","7545508a-37a3-4323-a237-a1163e932970","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103981.onmicrosoft.com","ee874972-3931-442f-94f1-194077ab5509","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103980.onmicrosoft.com","d0a39780-539a-4a6e-b2de-b736b0620bbf","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103979.onmicrosoft.com","5d6cad3a-51ac-4226-9127-86b1f2fd974f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103978.onmicrosoft.com","996de039-3941-4d35-8d36-c1019a0c004e","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103977.onmicrosoft.com","3a6c6a6f-0ec1-41d3-ae2f-6c8619ccca0f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103976.onmicrosoft.com","62ee6aee-b2fe-49e5-bf86-99d42ea82bcb","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103975.onmicrosoft.com","bebe3aa5-8e16-452a-83bb-be5947d6f98c","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103974.onmicrosoft.com","b784a8bb-38ad-4d23-91dc-6fa18f32aaf1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103973.onmicrosoft.com","8397a0cc-e938-47e8-8eb6-10d147fa7c9a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103972.onmicrosoft.com","c00a3fea-3972-4c63-a250-22a96d8af04d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103971.onmicrosoft.com","ac3439e7-a87c-4d49-9ce6-e160f843b335","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103970.onmicrosoft.com","5260b566-f122-49c9-99ab-7916003b0980","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103969.onmicrosoft.com","581fb582-2f14-4377-9557-ceea0d409c08","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103968.onmicrosoft.com","088d64d3-fcc4-428f-bdc6-245bb6227182","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103967.onmicrosoft.com","d9a9476e-6d10-4d51-a667-f430c40a6db8","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103966.onmicrosoft.com","d87bdccf-295a-4082-bec6-1f9fe0657f8d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103965.onmicrosoft.com","e5fa521c-34f2-451c-93ab-e275aa237515","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103964.onmicrosoft.com","bc496fd4-cbca-43f9-a157-682f299c41c2","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103963.onmicrosoft.com","0b23844d-215b-466f-8100-b03bbb5f3911","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103962.onmicrosoft.com","152c40d7-5a3a-4f32-af08-57fcc2287489","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103961.onmicrosoft.com","c373a689-4210-43eb-8365-62ceacf3c2d7","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103960.onmicrosoft.com","d3e105f7-469f-424d-8951-c83ac7cf597d","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103959.onmicrosoft.com","360ebf92-46dc-4d94-9c5b-2716e53460fc","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103958.onmicrosoft.com","39cc44fb-7d6d-477a-9d3e-8d297b8b7b27","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103957.onmicrosoft.com","a62bd3b3-81da-4d05-849f-7aa531392d00","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103956.onmicrosoft.com","265daf79-065a-4b05-8cff-f07a9c200303","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103955.onmicrosoft.com","d9baa514-5975-4392-b08f-664d3c0fea6f","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103954.onmicrosoft.com","7bfbd78a-45a0-4671-a309-c4fb32d5bc5a","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103953.onmicrosoft.com","cbbe8e31-df15-4f69-8758-49dd3fc41410","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103952.onmicrosoft.com","55fdf1aa-ad94-4198-ac1b-68717a4a8fc5","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103951.onmicrosoft.com","b61fd3b5-554d-4e28-8601-ed0dac162077","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103950.onmicrosoft.com","2c3790df-5ea3-4041-beae-f56d674c9dc6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103949.onmicrosoft.com","b1ed5703-8bd0-4f81-ae98-ec3ef7c10c27","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103948.onmicrosoft.com","df7d81ec-95e7-47d4-9ed0-0d73ab04e3d0","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103947.onmicrosoft.com","76b4a96c-05d0-488d-9d65-d2f2c903dff6","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103946.onmicrosoft.com","ce2d853e-7aa7-4c09-9d3c-3ba7db826653","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103945.onmicrosoft.com","65b6c862-abe8-4775-bf1b-f04512114af1","SKIP","0","0","1","Only Azure subscriptions"
"otuwacne103944.onmicrosoft.com","d5a924ac-62cb-4f91-9584-8ad2ab51ee51","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne103943.onmicrosoft.com","d3a9e600-4ed8-451a-80b3-31db1ea4eaa1","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
"otuwacne103942.onmicrosoft.com","94906fc2-483b-4986-b9d9-60ba8aa3ad65","CANCELLED","1","0","1","Targets=1; AzureSkipped=1"
