"CustomerName","CustomerId","Domain","LicenseSKU","SkuPartNumber","ActiveUnits","ConsumedUnits","AvailableUnits","SuspendedUnits","WarningUnits","Status"
"OTU WA CNE - 104006","c8361611-e905-4af9-b27b-4a0c19c7ab9d","otuwacne104006.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104005","77060ab6-f578-4346-ae1e-1b5e216db2ed","otuwacne104005.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104005","77060ab6-f578-4346-ae1e-1b5e216db2ed","otuwacne104005.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104005","77060ab6-f578-4346-ae1e-1b5e216db2ed","otuwacne104005.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104005","77060ab6-f578-4346-ae1e-1b5e216db2ed","otuwacne104005.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104004","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","otuwacne104004.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104004","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","otuwacne104004.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104004","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","otuwacne104004.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104004","dcde1ddd-af2c-4b23-9ae5-d2a1fab7339f","otuwacne104004.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104003","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","otuwacne104003.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104003","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","otuwacne104003.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104003","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","otuwacne104003.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104003","8576e7cd-3097-4f8f-b95e-5fa90f62ded3","otuwacne104003.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104002","28a55a2c-82bd-4b23-9f46-15ec7498ae91","otuwacne104002.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104002","28a55a2c-82bd-4b23-9f46-15ec7498ae91","otuwacne104002.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104002","28a55a2c-82bd-4b23-9f46-15ec7498ae91","otuwacne104002.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104002","28a55a2c-82bd-4b23-9f46-15ec7498ae91","otuwacne104002.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104002","28a55a2c-82bd-4b23-9f46-15ec7498ae91","otuwacne104002.onmicrosoft.com",,,"1","1","0","0","0","OK"
"OTU WA CNE - 104001","f228cb19-dd3b-46c2-8f83-26f187126f85","otuwacne104001.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104001","f228cb19-dd3b-46c2-8f83-26f187126f85","otuwacne104001.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104001","f228cb19-dd3b-46c2-8f83-26f187126f85","otuwacne104001.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104001","f228cb19-dd3b-46c2-8f83-26f187126f85","otuwacne104001.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104000","4d27db45-5247-434e-b486-cafa2a3e8cc1","otuwacne104000.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 104000","4d27db45-5247-434e-b486-cafa2a3e8cc1","otuwacne104000.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 104000","4d27db45-5247-434e-b486-cafa2a3e8cc1","otuwacne104000.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 104000","4d27db45-5247-434e-b486-cafa2a3e8cc1","otuwacne104000.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103999","0bbab552-d379-4e86-96e1-c86662064893","otuwacne103999.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103999","0bbab552-d379-4e86-96e1-c86662064893","otuwacne103999.onmicrosoft.com",,,"0","1","0","1","0","OK"
"OTU WA CNE - 103999","0bbab552-d379-4e86-96e1-c86662064893","otuwacne103999.onmicrosoft.com",,,"0","3","0","5","0","OK"
"OTU WA CNE - 103999","0bbab552-d379-4e86-96e1-c86662064893","otuwacne103999.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 103998","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","otuwacne103998.onmicrosoft.com",,,"0","1","0","2","0","OK"
"OTU WA CNE - 103998","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","otuwacne103998.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103998","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","otuwacne103998.onmicrosoft.com",,,"0","3","0","3","0","OK"
"OTU WA CNE - 103998","3ed144d1-0d90-40cb-9bb4-dbad7a874e74","otuwacne103998.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103997","a72d2241-6280-47be-a855-ea92aaf08ed6","otuwacne103997.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103997","a72d2241-6280-47be-a855-ea92aaf08ed6","otuwacne103997.onmicrosoft.com",,,"1","1","0","1","0","OK"
"OTU WA CNE - 103997","a72d2241-6280-47be-a855-ea92aaf08ed6","otuwacne103997.onmicrosoft.com",,,"0","3","0","3","0","OK"
