"Domain","Customer","CustomerId","Action","ActiveSubs","Suspended","Details"
"otuwacne103946.onmicrosoft.com","OTU WA CNE - 103946","ce2d853e-7aa7-4c09-9d3c-3ba7db826653","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103937.onmicrosoft.com","OTU WA CNE - 103937","91be7a1f-489d-411b-b325-6057a9c36c70","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103930.onmicrosoft.com","OTU WA CNE - 103930","9539a55d-3f7e-497f-812c-549f0b02a0a9","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103926.onmicrosoft.com","OTU WA CNE - 103926","8432a64e-a339-4256-a33e-d61c099f3734","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103923.onmicrosoft.com","OTU WA CNE - 103923","1ef49286-1e9a-407f-8918-9a669b8d92de","CANCELLED","4","0","Microsoft Entra ID P2 [Suspended]; Microsoft Intune Suite [Suspended]; Microsoft Defender Vulnerability Management Add-on [Suspended]; Microsoft 365 E5 (no Teams) [Suspended]"
"otuwacne103906.onmicrosoft.com","OTU WA CNE - 103906","d9b27f9e-99ba-4f26-9411-203e5ef21a7a","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103902.onmicrosoft.com","OTU WA CNE - 103902","92c7d10b-fc4b-419c-a770-e8686379a052","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103900.onmicrosoft.com","OTU WA CNE - 103900","e4a6773c-7631-47e7-bd97-a9c6a07470fc","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103897.onmicrosoft.com","OTU WA CNE - 103897","5235136c-0b5b-4ea2-ad36-eb0283192b13","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
"otuwacne103892.onmicrosoft.com","OTU WA CNE - 103892","3ac2ca41-8797-40fa-8aad-cf541dc22fa1","CANCELLED","1","1","Microsoft 365 E5 (no Teams) [Active]"
